Universal Time,Unix Time,Open,High,Low,Close,Volume
2018-11-02 00:00:00,1541116800.0,9.6106,9.6208,9.6011,9.6206,1295.92
2018-11-02 00:01:00,1541116860.0,9.6207,9.6207,9.5938,9.5938,30.57
2018-11-02 00:02:00,1541116920.0,9.6061,9.6061,9.5851,9.5851,187.38
2018-11-02 00:03:00,1541116980.0,9.61,9.611,9.61,9.611,10.01
2018-11-02 00:04:00,1541117040.0,9.6005,9.6383,9.6005,9.6383,1143.09
2018-11-02 00:05:00,1541117100.0,9.6061,9.6061,9.6055,9.6055,64.25
2018-11-02 00:06:00,1541117160.0,9.6218,9.6218,9.6215,9.6215,23.17
2018-11-02 00:07:00,1541117220.0,9.6238,9.6238,9.6135,9.6238,163.7
2018-11-02 00:08:00,1541117280.0,9.6238,9.6245,9.6237,9.6245,202.7
2018-11-02 00:09:00,1541117340.0,9.6243,9.6333,9.6177,9.6177,331.85
2018-11-02 00:10:00,1541117400.0,9.6192,9.6325,9.6192,9.6325,7.66
2018-11-02 00:11:00,1541117460.0,9.6308,9.6308,9.6207,9.6207,659.02
2018-11-02 00:12:00,1541117520.0,9.6307,9.6397,9.6307,9.6397,508.94
2018-11-02 00:13:00,1541117580.0,9.6399,9.65,9.6308,9.6308,77.46
2018-11-02 00:14:00,1541117640.0,9.64,9.642,9.64,9.6415,72.94
2018-11-02 00:15:00,1541117700.0,9.642,9.6499,9.642,9.6499,126.92
2018-11-02 00:16:00,1541117760.0,9.65,9.65,9.6391,9.6426,227.17
2018-11-02 00:17:00,1541117820.0,9.6373,9.6425,9.6356,9.6421,891.64
2018-11-02 00:18:00,1541117880.0,9.6421,9.6424,9.6323,9.6323,398.36
2018-11-02 00:19:00,1541117940.0,9.6426,9.6427,9.6425,9.6425,373.62
2018-11-02 00:20:00,1541118000.0,9.6426,9.6495,9.6425,9.6495,338.91
2018-11-02 00:21:00,1541118060.0,9.6495,9.6495,9.6385,9.6494,74.47
2018-11-02 00:22:00,1541118120.0,9.6456,9.6569,9.6456,9.6569,175.86
2018-11-02 00:23:00,1541118180.0,9.6515,9.6515,9.6515,9.6515,116.0
2018-11-02 00:24:00,1541118240.0,9.6515,9.6515,9.6515,9.6515,0.0
2018-11-02 00:25:00,1541118300.0,9.64,9.645,9.6393,9.645,354.48
2018-11-02 00:26:00,1541118360.0,9.6375,9.6447,9.6375,9.6445,562.32
2018-11-02 00:27:00,1541118420.0,9.6394,9.6446,9.6342,9.6444,623.8
2018-11-02 00:28:00,1541118480.0,9.6394,9.6446,9.6341,9.6441,1380.48
2018-11-02 00:29:00,1541118540.0,9.644,9.6442,9.6439,9.6442,102.47
2018-11-02 00:30:00,1541118600.0,9.6444,9.6444,9.6442,9.6442,368.84
2018-11-02 00:31:00,1541118660.0,9.6441,9.6441,9.6339,9.6339,233.64
2018-11-02 00:32:00,1541118720.0,9.6393,9.6442,9.6342,9.6442,1055.76
2018-11-02 00:33:00,1541118780.0,9.6441,9.6442,9.6441,9.6442,23.58
2018-11-02 00:34:00,1541118840.0,9.6391,9.6443,9.6391,9.6443,767.43
2018-11-02 00:35:00,1541118900.0,9.6444,9.6444,9.6395,9.6443,280.8
2018-11-02 00:36:00,1541118960.0,9.6443,9.6443,9.6027,9.6312,991.82
2018-11-02 00:37:00,1541119020.0,9.6312,9.6312,9.6309,9.6312,37.55
2018-11-02 00:38:00,1541119080.0,9.6208,9.6311,9.6208,9.6311,627.78
2018-11-02 00:39:00,1541119140.0,9.6311,9.6312,9.6311,9.6312,53.15
2018-11-02 00:40:00,1541119200.0,9.6306,9.6306,9.6306,9.6306,1.05
2018-11-02 00:41:00,1541119260.0,9.6295,9.6314,9.6238,9.6314,407.03
2018-11-02 00:42:00,1541119320.0,9.6416,9.6416,9.635,9.6415,19.94
2018-11-02 00:43:00,1541119380.0,9.6417,9.6637,9.6368,9.6477,1594.58
2018-11-02 00:44:00,1541119440.0,9.6638,9.6716,9.6528,9.6696,604.87
2018-11-02 00:45:00,1541119500.0,9.6686,9.6686,9.6528,9.6604,551.33
2018-11-02 00:46:00,1541119560.0,9.6603,9.6624,9.6528,9.6528,1104.38
2018-11-02 00:47:00,1541119620.0,9.6622,9.6622,9.6622,9.6622,5.73
2018-11-02 00:48:00,1541119680.0,9.6543,9.6715,9.6448,9.6448,651.74
2018-11-02 00:49:00,1541119740.0,9.6511,9.6622,9.6511,9.6622,2.5
