Universal Time,Unix Time,Open,High,Low,Close,Volume
2020-07-08 00:00:00,1594166400.0,237.84,238.13,237.83,238.07,130.28669
2020-07-08 00:01:00,1594166460.0,238.01,238.08,237.79,237.83,20.81773
2020-07-08 00:02:00,1594166520.0,237.81,237.83,237.42,237.52,227.32001
2020-07-08 00:03:00,1594166580.0,237.49,237.76,237.42,237.46,74.13571
2020-07-08 00:04:00,1594166640.0,237.47,237.5,237.36,237.41,62.48281
2020-07-08 00:05:00,1594166700.0,237.43,237.5,237.39,237.5,41.52869
2020-07-08 00:06:00,1594166760.0,237.51,237.68,237.49,237.5,45.0845
2020-07-08 00:07:00,1594166820.0,237.47,237.5,237.44,237.47,16.84411
2020-07-08 00:08:00,1594166880.0,237.51,237.55,237.27,237.34,266.94601
2020-07-08 00:09:00,1594166940.0,237.34,237.34,236.82,236.87,758.27837
2020-07-08 00:10:00,1594167000.0,236.92,236.94,236.23,236.34,337.00689
2020-07-08 00:11:00,1594167060.0,236.38,236.72,236.32,236.72,87.68264
2020-07-08 00:12:00,1594167120.0,236.79,237.08,236.79,236.88,246.32761
2020-07-08 00:13:00,1594167180.0,236.88,236.92,236.74,236.75,21.46482
2020-07-08 00:14:00,1594167240.0,236.74,236.81,236.45,236.77,62.17813
2020-07-08 00:15:00,1594167300.0,236.79,236.87,236.72,236.77,18.01853
2020-07-08 00:16:00,1594167360.0,236.81,236.81,236.76,236.78,38.46884
2020-07-08 00:17:00,1594167420.0,236.72,236.84,236.62,236.84,53.84439
2020-07-08 00:18:00,1594167480.0,236.81,236.87,236.6,236.6,43.56823
2020-07-08 00:19:00,1594167540.0,236.69,236.7,236.6,236.6,24.33416
2020-07-08 00:20:00,1594167600.0,236.6,236.81,236.56,236.67,56.67284
2020-07-08 00:21:00,1594167660.0,236.63,236.69,236.32,236.44,77.26285
2020-07-08 00:22:00,1594167720.0,236.38,236.64,236.31,236.61,55.73643
2020-07-08 00:23:00,1594167780.0,236.58,236.58,236.41,236.44,24.25904
2020-07-08 00:24:00,1594167840.0,236.44,236.5,236.26,236.32,6.5664
2020-07-08 00:25:00,1594167900.0,236.31,236.34,236.2,236.21,49.23007
2020-07-08 00:26:00,1594167960.0,236.2,236.2,236.09,236.11,44.96198
2020-07-08 00:27:00,1594168020.0,236.11,236.17,236.09,236.1,20.33561
2020-07-08 00:28:00,1594168080.0,236.09,236.17,236.09,236.09,7.96203
2020-07-08 00:29:00,1594168140.0,236.09,236.2,236.02,236.13,37.89133
2020-07-08 00:30:00,1594168200.0,236.08,236.43,236.08,236.43,48.3942
2020-07-08 00:31:00,1594168260.0,236.4,236.41,236.34,236.35,19.89525
2020-07-08 00:32:00,1594168320.0,236.36,236.47,236.36,236.37,32.3746
2020-07-08 00:33:00,1594168380.0,236.35,236.35,236.07,236.07,102.16818
2020-07-08 00:34:00,1594168440.0,236.06,236.08,236.0,236.0,21.22081
2020-07-08 00:35:00,1594168500.0,236.03,236.24,236.02,236.05,64.97971
2020-07-08 00:36:00,1594168560.0,236.02,236.02,235.93,235.98,9.60959
2020-07-08 00:37:00,1594168620.0,235.96,236.1,235.94,236.02,20.46934
2020-07-08 00:38:00,1594168680.0,236.01,236.06,236.01,236.05,2.36506
2020-07-08 00:39:00,1594168740.0,236.05,236.1,236.04,236.05,4.37535
2020-07-08 00:40:00,1594168800.0,236.06,236.3,236.02,236.28,52.26373
2020-07-08 00:41:00,1594168860.0,236.32,236.52,236.32,236.52,21.40297
2020-07-08 00:42:00,1594168920.0,236.48,236.56,236.44,236.44,49.6795
2020-07-08 00:43:00,1594168980.0,236.46,236.77,236.46,236.74,102.95367
2020-07-08 00:44:00,1594169040.0,236.75,236.82,236.71,236.71,20.12115
2020-07-08 00:45:00,1594169100.0,236.77,236.79,236.73,236.74,23.73437
2020-07-08 00:46:00,1594169160.0,236.74,236.78,236.74,236.77,1.41238
2020-07-08 00:47:00,1594169220.0,236.76,236.85,236.76,236.82,8.20708
2020-07-08 00:48:00,1594169280.0,236.85,236.96,236.84,236.92,9.09153
2020-07-08 00:49:00,1594169340.0,236.96,236.98,236.89,236.91,29.84942
2020-07-08 00:50:00,1594169400.0,236.89,236.98,236.69,236.93,66.65105
2020-07-08 00:51:00,1594169460.0,236.98,236.98,236.88,236.92,6.99809
2020-07-08 00:52:00,1594169520.0,236.94,236.94,236.92,236.93,1.06089
2020-07-08 00:53:00,1594169580.0,236.93,236.93,236.9,236.9,8.64953
2020-07-08 00:54:00,1594169640.0,236.92,236.92,236.88,236.89,5.64231
2020-07-08 00:55:00,1594169700.0,236.9,236.9,236.75,236.75,43.2552
2020-07-08 00:56:00,1594169760.0,236.76,236.9,236.76,236.9,27.42906
2020-07-08 00:57:00,1594169820.0,236.88,236.88,236.82,236.84,0.29924
2020-07-08 00:58:00,1594169880.0,236.84,236.85,236.79,236.84,2.76674
2020-07-08 00:59:00,1594169940.0,236.85,236.85,236.78,236.78,0.71061
2020-07-08 01:00:00,1594170000.0,236.78,236.97,236.77,236.96,23.77347
2020-07-08 01:01:00,1594170060.0,236.97,237.31,236.97,237.31,119.23376
2020-07-08 01:02:00,1594170120.0,237.26,237.32,237.13,237.15,29.50393
2020-07-08 01:03:00,1594170180.0,237.06,237.11,237.02,237.03,64.93265
2020-07-08 01:04:00,1594170240.0,237.06,237.06,236.9,236.9,22.18055
2020-07-08 01:05:00,1594170300.0,236.87,237.09,236.87,237.03,22.34655
2020-07-08 01:06:00,1594170360.0,237.03,237.03,236.84,236.86,58.77604
2020-07-08 01:07:00,1594170420.0,236.84,236.89,236.78,236.83,4.49514
2020-07-08 01:08:00,1594170480.0,236.82,236.87,236.82,236.85,3.27854
2020-07-08 01:09:00,1594170540.0,236.85,237.11,236.83,237.06,49.37777
2020-07-08 01:10:00,1594170600.0,237.08,237.23,237.08,237.18,42.57633
2020-07-08 01:11:00,1594170660.0,237.13,237.14,236.99,237.07,41.27141
2020-07-08 01:12:00,1594170720.0,237.0,237.23,237.0,237.23,72.74866
2020-07-08 01:13:00,1594170780.0,237.23,237.5,237.23,237.49,80.64129
2020-07-08 01:14:00,1594170840.0,237.5,237.71,237.5,237.71,91.72009
2020-07-08 01:15:00,1594170900.0,237.73,237.78,237.53,237.55,80.04462
2020-07-08 01:16:00,1594170960.0,237.59,237.69,237.55,237.6,17.91985
2020-07-08 01:17:00,1594171020.0,237.65,237.82,237.63,237.71,57.98276
2020-07-08 01:18:00,1594171080.0,237.71,237.8,237.64,237.79,15.63952
2020-07-08 01:19:00,1594171140.0,237.78,237.82,237.64,237.67,33.03449
2020-07-08 01:20:00,1594171200.0,237.68,237.8,237.65,237.8,31.37379
2020-07-08 01:21:00,1594171260.0,237.8,237.9,237.8,237.83,12.04471
2020-07-08 01:22:00,1594171320.0,237.88,237.9,237.77,237.8,29.16806
